Title,Categories,Uri,FullPath
"September 20, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/09/20/index.html","E:\repos\Processtune-web\www\2017\09\20\index.html"
"September 27, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/09/27/index.html","E:\repos\Processtune-web\www\2017\09\27\index.html"
"November 2, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/11/02/index.html","E:\repos\Processtune-web\www\2017\11\02\index.html"
"November 9, 2017 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2017/11/09/index.html","E:\repos\Processtune-web\www\2017\11\09\index.html"
"May 26, 2018 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2018/05/26/index.html","E:\repos\Processtune-web\www\2018\05\26\index.html"
"June 30, 2018 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2018/06/30/index.html","E:\repos\Processtune-web\www\2018\06\30\index.html"
"July 28, 2018 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2018/07/28/index.html","E:\repos\Processtune-web\www\2018\07\28\index.html"
"August 31, 2018 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2018/08/31/index.html","E:\repos\Processtune-web\www\2018\08\31\index.html"
"October 27, 2018 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2018/10/27/index.html","E:\repos\Processtune-web\www\2018\10\27\index.html"
"March 28, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/03/28/index.html","E:\repos\Processtune-web\www\2019\03\28\index.html"
"March 29, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/03/29/index.html","E:\repos\Processtune-web\www\2019\03\29\index.html"
"April 30, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/04/30/index.html","E:\repos\Processtune-web\www\2019\04\30\index.html"
"June 30, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/06/30/index.html","E:\repos\Processtune-web\www\2019\06\30\index.html"
"July 30, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/07/30/index.html","E:\repos\Processtune-web\www\2019\07\30\index.html"
"August 31, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/08/31/index.html","E:\repos\Processtune-web\www\2019\08\31\index.html"
"September 30, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/09/30/index.html","E:\repos\Processtune-web\www\2019\09\30\index.html"
"October 30, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/10/30/index.html","E:\repos\Processtune-web\www\2019\10\30\index.html"
"November 30, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/11/30/index.html","E:\repos\Processtune-web\www\2019\11\30\index.html"
"December 26, 2019 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2019/12/26/index.html","E:\repos\Processtune-web\www\2019\12\26\index.html"
"January 31, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/01/31/index.html","E:\repos\Processtune-web\www\2020\01\31\index.html"
"February 29, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/02/29/index.html","E:\repos\Processtune-web\www\2020\02\29\index.html"
"March 13, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/03/13/index.html","E:\repos\Processtune-web\www\2020\03\13\index.html"
"March 14, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/03/14/index.html","E:\repos\Processtune-web\www\2020\03\14\index.html"
"March 31, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/03/31/index.html","E:\repos\Processtune-web\www\2020\03\31\index.html"
"April 20, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/04/20/index.html","E:\repos\Processtune-web\www\2020\04\20\index.html"
"May 23, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/05/23/index.html","E:\repos\Processtune-web\www\2020\05\23\index.html"
"May 27, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/05/27/index.html","E:\repos\Processtune-web\www\2020\05\27\index.html"
"September 1, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/09/01/index.html","E:\repos\Processtune-web\www\2020\09\01\index.html"
"October 1, 2020 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2020/10/01/index.html","E:\repos\Processtune-web\www\2020\10\01\index.html"
"May 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/05/01/index.html","E:\repos\Processtune-web\www\2021\05\01\index.html"
"July 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/07/01/index.html","E:\repos\Processtune-web\www\2021\07\01\index.html"
"August 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/08/01/index.html","E:\repos\Processtune-web\www\2021\08\01\index.html"
"September 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/09/01/index.html","E:\repos\Processtune-web\www\2021\09\01\index.html"
"October 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/10/01/index.html","E:\repos\Processtune-web\www\2021\10\01\index.html"
"November 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/11/01/index.html","E:\repos\Processtune-web\www\2021\11\01\index.html"
"December 1, 2021 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2021/12/01/index.html","E:\repos\Processtune-web\www\2021\12\01\index.html"
"January 15, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/01/15/index.html","E:\repos\Processtune-web\www\2022\01\15\index.html"
"February 1, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/02/01/index.html","E:\repos\Processtune-web\www\2022\02\01\index.html"
"April 30, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/04/30/index.html","E:\repos\Processtune-web\www\2022\04\30\index.html"
"May 30, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/05/30/index.html","E:\repos\Processtune-web\www\2022\05\30\index.html"
"June 28, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/06/28/index.html","E:\repos\Processtune-web\www\2022\06\28\index.html"
"July 23, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/07/23/index.html","E:\repos\Processtune-web\www\2022\07\23\index.html"
"August 18, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/08/18/index.html","E:\repos\Processtune-web\www\2022\08\18\index.html"
"September 30, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/09/30/index.html","E:\repos\Processtune-web\www\2022\09\30\index.html"
"October 30, 2022 – Processtune Blog","Azure Active Directory,Microservice,Microsoft Azure,Visual Studio","./2022/10/30/index.html","E:\repos\Processtune-web\www\2022\10\30\index.html"
